300.1913	300.1867	4211.6084	3.2500	9.5556	30.0833	0.2321	Undefined	Undefined	300.1218	300.2761	0.0713	0.4107	50.0000
303.0759	303.0510	4749.0245	2.7500	6.7639	20.2500	0.1486	Undefined	Undefined	302.9751	303.0914	0.0638	0.3475	50.0000
305.1336	305.1380	4689.4137	3.9167	9.1667	35.7500	0.2735	Undefined	Undefined	305.0559	305.2114	0.0651	0.4949	50.0000
311.9540	311.9685	5057.1697	6.0000	16.3889	54.7500	0.4306	Undefined	Undefined	311.8990	312.0563	0.0617	0.7581	50.0000
313.1270	313.1276	8196.0455	3.0833	6.6944	25.6667	0.1911	Undefined	Undefined	313.0640	313.1821	0.0382	0.3896	50.0000
315.2185	315.2332	3701.6701	8.8333	29.6111	102.8333	0.8117	Yes	1	315.1158	315.3530	0.0852	1.1161	50.0000
316.1205	316.1142	3823.9685	28.8333	86.7639	306.0000	2.3989	Yes	1	316.0413	316.1996	0.0827	3.6433	50.0000
316.2155	316.2298	Undefined	4.0000	7.0556	21.3333	0.1689	No	1	316.2234	316.3105	Undefined	0.5054	97.6744
317.1267	317.1194	3953.0564	7.0833	20.5000	68.5833	0.5386	No	1	317.0078	317.1981	0.0802	0.8950	50.0000
322.9018	322.9126	4047.5680	13.1667	43.0139	140.5833	1.1236	Undefined	Undefined	322.8378	323.0059	0.0798	1.6637	50.0000
327.0599	327.0511	Undefined	9.0833	20.2500	56.8333	0.3865	Undefined	Undefined	326.9955	327.0680	Undefined	1.1477	98.4127
327.1727	327.1831	3484.9054	10.5000	35.9444	124.1667	1.0001	Yes	1	327.1163	327.2935	0.0939	1.3267	50.0000
328.1964	328.2099	4322.8090	6.0000	18.2917	59.4167	0.4881	No	1	328.1480	328.3013	0.0759	0.7581	50.0000
331.1717	331.1814	2910.4286	6.5833	24.3056	77.5000	0.6328	Undefined	Undefined	331.0988	331.2852	0.1138	0.8318	50.0000
